6/24/2011,126.803,126.902,125.172,125.36,228744867
6/23/2011,125.713,127.176,124.754,126.84,338134326
6/22/2011,127.576,128.327,127.121,127.2,178745086
6/21/2011,126.892,128.217,126.289,127.97,195391204
6/20/2011,125.172,126.507,125.133,126.24,161323418
6/17/2011,126.47,126.48,125.175,125.6,235978077
6/16/2011,124.994,125.889,124.266,125.23,313124454
6/15/2011,126.15,127.193,124.616,124.95,305943858
6/14/2011,126.767,127.653,126.718,127.21,163233740
6/13/2011,125.807,126.151,124.981,125.62,211037211
6/10/2011,126.75,126.828,125.186,125.52,242583743
6/9/2011,126.67,127.811,126.365,127.29,163632597
6/8/2011,126.664,127.087,126.094,126.33,201983627
6/7/2011,127.588,127.952,126.752,126.86,164336576
6/6/2011,127.973,128.239,126.773,126.94,182928177
6/3/2011,128.024,129.274,127.956,128.29,238586763
6/2/2011,129.806,130.082,128.823,129.58,203792958
6/1/2011,132.317,132.72,129.612,129.72,236957642
5/31/2011,132.572,132.72,131.657,132.7,167462237
5/27/2011,131.192,131.684,130.789,131.33,122929131
5/26/2011,129.876,131.066,129.63,130.83,167584269
5/25/2011,130.23,130.771,129.236,130.23,153555423
5/24/2011,130.282,130.567,129.554,129.8,149637806
5/23/2011,129.831,130.559,129.448,129.91,171491971
5/20/2011,132.138,132.483,131.184,131.43,185623560
5/19/2011,132.608,132.834,131.762,132.49,121464607
5/18/2011,131.068,132.308,130.783,132.17,137458402
5/17/2011,130.528,131.177,129.967,131,195878024
5/16/2011,131.384,132.417,130.804,131.02,144021878
5/13/2011,132.952,133.139,131.388,131.86,160047887
5/12/2011,131.896,133.155,131.218,132.88,174390943
5/11/2011,133.46,133.48,131.64,132.25,196769535
5/10/2011,132.971,133.896,132.804,133.66,116705173
5/9/2011,131.999,132.904,131.792,132.52,115998779
5/6/2011,132.738,133.417,131.498,132.01,226483162
5/5/2011,131.892,132.748,130.85,131.43,230663539
5/4/2011,133.456,133.515,132.04,132.63,185708679
5/3/2011,133.746,133.973,132.841,133.52,140665359
5/2/2011,134.836,134.944,133.734,134,128370779
4/29/2011,133.944,134.348,133.767,134.21,116997899
4/28/2011,133.221,134.067,133.201,133.89,126860233
4/27/2011,132.85,133.657,132.309,133.46,145399488
4/26/2011,131.862,132.856,131.724,132.59,149032460
4/25/2011,131.499,131.676,131.027,131.46,66847549
4/21/2011,131.61,131.659,130.931,131.6,138187217
4/20/2011,130.714,131.215,130.625,130.93,158721521
4/19/2011,128.629,129.209,128.314,129.17,126317434
4/18/2011,128.46,129.876,127.397,128.43,214254724
4/15/2011,129.654,130.215,129.27,129.89,172820730
4/14/2011,128.574,129.617,128.151,129.42,163886229
4/13/2011,129.93,130.028,128.828,129.32,164740768
4/12/2011,129.576,129.832,128.858,129.33,163854538
4/11/2011,130.831,131.274,129.985,130.3,123397621
4/8/2011,131.733,131.812,130.159,130.7,150390404
4/7/2011,131.248,131.799,130.501,131.15,173556413
4/6/2011,131.696,131.814,130.949,131.48,122408080
